url,description,name,Herkunftsland,Anbauregion,Weingut,Marke,Produktkategorie,Qualitätsstufe,Cuvee,Jahrgang,Geschmacksrichtung,Farbnuance,Flaschengröße,Alkoholgehalt,Restzucker,Säure,Trinktemperatur,Passende Speisen,Hinweis auf Allergene,Hersteller,Model,Generierte Beschreibung,Tonalität
https://www.vindor.de/piedemonte-gamma-blanco-do-navarra,"Glänzende strohgelbe Farbe. Im Bukett saubere und natürliche Aromen, erinnernd an den Duft der Trauben am Rebstock mit einigen Anklängen an Zitrusfrüchte. Im Mund frisch und rund mit Röstnoten und Anklängen an Zitrusfrüchte.","Piedemonte, Gamma Blanco, DO Navarra",Spanien,Navarra,Bodegas Piedemonte,Piedemonte,Weißwein,D.O.,"Chardonnay, Moscatel, Viura",2022,trocken,strohgelb,"0,75 l","12,5 %","2,4 g/l","5,0 g/l",8-10 °C,"Sehr gut zu allen Arten von Fisch, Schweinefleisch und Geflügel, Paellas und Nudelgerichten",enthält Sulfite,"Bodegas Piedemonte, Rua Romana, 0 - ES 31390 Olite, Navarra, Spanien",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 12,5 % vol.

Der Piedemonte Chardonnay, Moscatel und Viura D.O. ist ein trockener Weißwein aus der spanischen Anbauregion Navarra. Sein strohgelber Farbton verspricht ein erfrischendes Trinkerlebnis. Der Wein überzeugt mit seinem harmonischen Geschmack von exotischen Früchten und Blüten, der durch eine leichte Süße und eine angenehme Säure abgerundet wird. Der Piedemonte Chardonnay, Moscatel und Viura D.O. ist ein ausgezeichneter Begleiter zu Fisch, Schweinefleisch, Geflügel, Paellas und Nudelgerichten. Genießen Sie diesen Weißwein als idealen Begleiter bei einem gemütlichen Abend mit Freunden.",professionell
https://www.vindor.de/albino-armani-pinot-grigio-friuli-grave-doc-friuli,"Leidenschaft und Hingabe kennzeichnen diesen hochklassigen Pinot Grigio von Armani, dessen Name seit über 400 Jahren für höchste Qualitiät steht. Wunderbares, intensives und charakteristisches Bukett das an Birnen und reife Äpfel erinnert und sich mit Düften von trockenem Heu und gerösteten Mandeln entfaltet. Am Gaumen ist er frisch und mineralisch, genau wie das Land, aus dem er stammt.","Albino Armani, Pinot Grigio Friuli Grave, DOC Friuli",Italien,Friaul,Albino Armani,Albino Armani,Weißwein,DOC,,2022,trocken,strahlendes Strohgelb,"0,75 l","12,5 %","2,7 g/l","5,3 g/l",8-10 °C,,enthält Sulfite,"Cantina Vini Armani ,  Località Ceradello, Via Ceradello 401, IT-37020 Dolcè - Italien",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 11,5 % vol.

Der Albino Armani Weißwein aus dem Friaul in Italien ist ein trockener Wein der DOC Qualitätsstufe. Er hat eine strahlendes Strohgelb Farbnuance und einen Restzuckergehalt von 2,7 g/l und eine Säure von 5,3 g/l. Der Wein hat ein angenehmes Bukett mit Fruchtnoten von Pfirsich, Aprikose und Zitrusfrüchten. Er ist ein idealer Begleiter zu Fischgerichten, Geflügel, Salat und leichten Käsesorten. Ein wunderbarer Wein, der ein Genusserlebnis der besonderen Art ist.",professionell
https://www.vindor.de/kressmann-grande-reserve-blanc-ac-bordeaux,"Die Firma Kressmann (das bedeutendste Handelhaus in Bordeaux) produziert diesen herrlichen Weißwein. Ein Wein bei dem alles passt: Eine schöne goldgelbe Farbe, ein reichhaltiges, vollfruchtiges und großartiges Bukett.","Kressmann, Grande Reserve Blanc, AC Bordeaux",Frankreich,Bordeaux,CVBG Dourthe - Kressmann,Kressmann,Weißwein,AC Bordeaux,"Sauvignon blanc, Sémillon, Muscadelle",2021,trocken,goldgelb,"0,75 l",12 %,"2,0 g/l","4,0 g/l",8-10 °C,"Ideal zu Gemüse und hellem Fleisch, zu Fisch und Krustentieren, optimal zu gegrilltem Fisch.",enthält Sulfite,"CVBG Dourthe Kressmann (C&C EXPORT), 35 Rue de Bordeaux Parempuyre –  33295 Blanquefort Cedex - France",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 12,5 % vol.

Der Kressmann Sauvignon Blanc Sémillon Muscadelle 2021 ist ein frischer, trockener Weißwein aus der Bordeaux Region in Frankreich. Seine Farbnuance ist ein lebendiges Goldgelb. Der Wein überzeugt durch seine feinen Aromen und Düfte von tropischen Früchten wie Ananas und Maracuja. Dazu gesellen sich Noten von grünen Äpfeln, Melone und Limette. Der Wein ist ein idealer Begleiter zu Gemüse und hellem Fleisch, aber auch zu Fisch und Krustentieren. Er passt besonders gut zu gegrilltem Fisch. Genießen Sie diesen Wein bei 8-10 °C.",professionell
https://www.vindor.de/fortant-de-france-sauvignon-serigrafiert-vin-de-pays-d-oc-in-serigrafierter-flasche,"Die besondere, serigrafierte Flasche erfreut das Auge so wie der Wein später den Gaumen. Frische, exotische Noten, am Gaumen schöne, frische Säure, feine Sauvignon Blanc-Aromatik, gute Struktur.","Fortant de France, Sauvignon Serigrafiert, Vin de Pays d'Oc -in serigrafierter Flasche-",Frankreich,Languedoc,Les Vins de Skalli,Les Vins Skalli,Weißwein,IGT / IGP,,2021,trocken,,"0,75 l","11,5 %","10,0 g/l","5,0 g/l",8-10 °C,"asiatische Küche, Salat, Geflügel, Nachspeisen und zu allen Gelegenheiten",enthält Sulfite,"Les Vins de Skalli, 1266 rte Châteauneuf du Pape, F 84700 SORGUES, France",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 13 % vol

Der Les Vins de Skalli IGT / IGP 2021 ist ein trockener Weißwein aus Frankreichs Anbauregion Languedoc. Er präsentiert sich im Glas in einem frischen, leuchtenden Strohgelb und verströmt ein intensives Bouquet aus Aromen von reifen Früchten und Blüten. Am Gaumen ist er sehr ausgewogen und leicht, mit einer angenehmen Säure und einem harmonischen Abgang. Dieser Wein passt hervorragend zu asiatischer Küche, Salat, Geflügel, Nachspeisen und zu allen Gelegenheiten. Genießen Sie diesen Wein und lassen Sie sich von seinem unvergleichlichen Geschmack überraschen.",professionell
https://www.vindor.de/la-vie-est-belle-blanc-9-5-vdf-suedwestfrankreich,"Sie möchten die schönen Momente im Leben unbeschwert genießen? Dann versuchen Sie es einmal mit diesem wunderbar leichten und frischen Wein, der mit intensiven Aromen von Blüten, Grapefruit und Zitronenschale die Sinne erfreut. Ein feines Prickeln auf der Zunge, eine belebende Säure und eine dezente Restsüße machen ihn zum idealen Sommerwein - ein unbeschwerter Hochgenuss für die schönsten Momente im Leben.","La vie est belle Blanc 9,5%, VDF Südwestfrankreich",Frankreich,,La vie est belle,La vie est belle,Weißwein,Vin de France,,2022,halbtrocken,strohgelb,"0,75 l","9,5 %","18,0 g/l","7,6 g/l",8-10 °C,"Vorspeisen, Meeresfrüchte, Fisch, Geflügel, Pasta, Salate",enthält Sulfite,"La vie est belle, FR-11000 Carcassonne - Frankreich",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 12,0 % vol.

Der La vie est belle Weißwein aus Frankreich ist ein Vin de France und überzeugt durch seine halbtrockene Geschmacksrichtung. Er präsentiert sich in einem strohgelben Farbton und ist mit 18,0 g/l Restzucker und 7,6 g/l Säure ausgestattet. Der Wein verströmt ein duftiges Aroma von Zitrusfrüchten, Apfel und exotischen Früchten. Am Gaumen offenbart er ein weiches und rundes Mundgefühl, das von einer angenehmen Süße begleitet wird und in einem langen, fruchtigen Abgang endet. Der La vie est belle Weißwein passt hervorragend zu Vorspeisen, Meeresfrüchte, Fisch, Geflügel, Pasta und Salaten.",professionell
https://www.vindor.de/weingut-gerald-beck-zweigelt-classic-burgenland,"Das Weingut Beck liefert mit dem Zweigelt Classic eine klassische Variante des beliebten Rotweins. Der Zweigelt, welcher die meistangebaute Rebsorte Österreichs ist, besitzt einen fruchtig-würzigen Duft, der Ihre Sinne verführen wird. Am Gaumen wird er von Kirschen und roten Beeren getragen und endet in einem harmonischen, lang anhaltenden Abgang. Daher passt der Zweigelt Classic hervorragend zu Antipasti und Wild. Servieren Sie den Wein am besten in einem großen Rotweinglas bei einer Trinktemperatur von 16-18°C.","Weingut Gerald Beck, Zweigelt Classic, Burgenland",Österreich,Burgenland,Weingut Gerald Beck,Beck,Rotwein,Qualitätswein,,2016,trocken,kirschrot,"0,75 l","13,5 %","5,0 g/l","5,0 g/l",16-18 °C,"Antipasti, Wildschwein mit karamellisierten Birnenspalten und Preiselbeerensoße",enthält Sulfite,"Weingut Gerald Beck, Untere Hauptstraße 19, A-7122 Gols, Österreich",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 13,5 % vol.

Der Beck Rotwein von Weingut Gerald Beck aus dem Burgenland in Österreich ist ein Qualitätswein, der in einem kirschroten Farbton erstrahlt. Der trockene Wein verfügt über feine Aromen und Düfte von schwarzen Johannisbeeren, Brombeeren und Pflaumen, die sich mit einer leichten Mineralität und einer feinen Würze vereinen. Der Wein ist ein idealer Begleiter zu Antipasti und Wildschwein mit karamellisierten Birnenspalten und Preiselbeerensoße. Genießen Sie diesen Wein und lassen Sie sich von seiner Komplexität und seinem unvergleichlichen Geschmack überzeugen.",professionell
https://www.vindor.de/edlmoser-laessiger-gruener-veltliner-niederoesterreich,"Wenn Sie es gern locker mögen, oder wie der Österreicher sagt LÄSSIG, ist dieser Wein genau das Richtige für Sie. Österreichs bekannteste Rebsorte in Reinkultur. LAESSIGER Grüner Veltliner duftet nach Apfel und Pfeffer und punktet mit knackiger, klarer Frucht und erfrischender Leichtigkeit. Das passt hervorragend zu gegrillten und rohen Fischen oder einer klassischen Brettljause. Wer wagt,gewinnt!","Edlmoser, Laessiger Grüner Veltliner, Niederösterreich",Österreich,Niederösterreich,Edlmoser Wines,Laessiger,Weißwein,,,2022,trocken,strahlendes Strohgelb,"0,75 l",12 %,"4,0 g/l","6,5 g/l",8-9 °C,"Roher oder gegrillter Fisch, Wiener Schnitzel, typische Brettljause - oder einfach so.",enthält Sulfite,"Edlmoser Weingut & Heuriger, Maurer Lange Gasse 123 - 1230 Wien - Österreich",OpenAI: text-davinci-003,"Flaschengröße: 0,75l,
Alkoholgehalt: 12,5 % vol.

Der Laessiger Weißwein aus dem Edlmoser Weingut & Heuriger in Niederösterreich ist ein trockener Weißwein mit einer strahlenden Strohgelb Farbnuance. Er verfügt über einen Restzuckergehalt von 4,0 g/l und einer Säure von 6,5 g/l. Der Laessiger Weißwein ist ein vollmundiger und ausgewogener Wein. Er zeigt eine angenehme Fruchtigkeit von Birnen, Zitrusfrüchten und saftigen Äpfeln. Seine Aromen und Düfte sind erfrischend und erinnert an Blumen, Kräuter und Gewürze. Der Laessiger Weißwein passt gut zu Rohem oder Gegrilltem Fisch, Wiener Schnitzel oder einer typischen Brettljause - oder einfach so. Genießen Sie diesen Wein und lassen Sie sich von seinem vollmundigen Geschmack überraschen.",professionell
https://www.vindor.de/rockabilly-weinkult-cuvee-maximilian-weinviertel,"Achtung: Hoher Kultfaktor ! Die Rock’n’Roll-Winzer aus Österreich: Rockabilly Weinkult – Wein, der rockt, und das nicht nur bei Genießern mit Tolle.
Der Rockabilly Weinkult ""Cuvée Maximilian"" überzeugt durch seine wunderbare Trinkfreudig- und Fruchtigkeit. Rubinrot, in der Nase vielschichtig, duftet nach Zwetschke, Marzipan und etwas Minze, am Gaumen Röstaromen, Beerenkonfit und etwas dunkle Schokolade, saftige und trinkanimierende Cuvée. DER ROCKT !","Rockabilly Weinkult, Cuvée Maximilian, Weinviertel",Österreich,Weinviertel,Weingut Rockabilly Weinkult,Rockabilly Weinkult,Rotwein,Qualtätswein aus Österreich,"Zweigelt, Merlot, Cabernet Sauvignon",,trocken,dunkelrot mit kirschfarbenen Reflexen,"0,75 l",13 %,"5,0 g/l","5,2 g/l",14-16 °C,"ideal zu Fleischgereichen vom Schwein, Rind, auch vom Grill, zu Tapas und Käse",enthält Sulfite,"Weingut Rockabilly Weinkult,  Ramona & René Pollak, Hauptstraße 21, 2074 Unterretzbach - Österreich",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 13,5 % vol.

Der Rockabilly Weinkult Zweigelt, Merlot, Cabernet Sauvignon ist ein trockener, dunkelroter Qualitätswein aus Österreich. Er wird von Weingut Rockabilly Weinkult, Ramona & René Pollak in Unterretzbach hergestellt. Seine tiefrote Farbe mit kirschfarbenen Reflexen und sein angenehmes Bukett aus schwarzen Johannisbeeren, reifen Kirschen und Pflaumen machen ihn zu einem wahren Genuss. Er ist der perfekte Begleiter zu Fleischgerichten vom Schwein, Rind, aber auch vom Grill, Tapas und Käse. Ein einmaliges Geschmackserlebnis!",professionell
https://www.vindor.de/rockabilly-weinkult-sauvignon-blanc-weinviertel,"Achtung: Hoher Kultfaktor ! Die Rock’n’Roll-Winzer aus Österreich: Rockabilly Weinkult – Wein, der rockt, und das nicht nur bei Genießern mit Tolle.
Der Rockabilly Weinkult Sauvignon Blanc überzeugt durch seine Aromenspannbreite. In der Nase ein Duft nach frischer Paprika und Brombeere, bleibt am Gaumen haften, ein vielschichtiger Wein mit Spannung und tollem Trinkvergnügen. DER ROCKT !","Rockabilly Weinkult, Sauvignon Blanc, Weinviertel",Österreich,Weinviertel,Weingut Rockabilly Weinkult,Rockabilly Weinkult,Weißwein,Qualtätswein aus Österreich,,2016,trocken,Strohgelb mit grünen Reflexen,"0,75 l","12,5 %","6,4 g/l","6,3 g/l",8-9 °C,"Aperitif, Eierspeisen, Fisch und Schalentiere, Nudelgerichte mit hellen Soßen, Gemüsegerichte wie Gemüseauflauf, Gratin, Risotto.",enthält Sulfite,"Weingut Rockabilly Weinkult,  Ramona & René Pollak, Hauptstraße 21, 2074 Unterretzbach - Österreich",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 12,5 %

Der Rockabilly Weinkult Weißwein aus dem Weinviertel in Österreich ist ein Qualitätswein, der in einer strohgelben Farbe mit grünen Reflexen erstrahlt. Der trockene Wein hat eine Restzucker- und Säuremenge von 6,4 g/l bzw. 6,3 g/l. Der komplexe Geschmack ist von einem fruchtigen Bouquet geprägt, das an reife Äpfel und reife Birnen erinnert. Ein leichter Anklang an Kräuter und Blüten machen den Wein zu einem einzigartigen Genuss. Der Rockabilly Weinkult Weißwein ist ein idealer Begleiter zu Aperitif, Eierspeisen, Fisch und Schalentieren, Nudelgerichten mit hellen Soßen und Gemüsegerichten wie Gemüseauflauf, Gratin und Risotto.",professionell
https://www.vindor.de/weingut-pfaffl-zweigelt-vom-haus-niederoesterreich,"Zum Skifahren nach Österreich ? Klar, kann man machen. Wir empfehlen Weine vom vielfach prämierten Weingut Pfaffl aus Niederösterreich. Kaum ein Weingut mach so sehr auf sich aufmerksam, wie dieses. Unglaubliche Qualitäten, Vielfalt und Prämierungen. Worauf warten Sie noch ? Hier die Fakten: Der Zweigelt überzeugt schon beim Anblick druch sein tiefes Rubinrot. Die dunkle, vollreife Kirschen in der Nase, die Fülle und Saftigkeit am Gaumen machen diesen Wein zu einem Erlebnis. Rund und edel, würzige Noten und sanftes Tannin, kompakter, runder Körper - wunderbar. Vielfach prämiert in jedem Jahrgang.","Weingut Pfaffl, Zweigelt vom Haus, Niederösterreich",Österreich,Niederösterreich,Weingut Pfaffl,Weingut Pfaffl,Rotwein,,,2022,trocken,sehr dunkles Rubinrot,"0,75 l","13,5 %","3,0 g/l","5,1 g/l",16-18 °C,"diverse Braten, zu Steaks, Pasta und Pizza",enthält Sulfite,"Weingut R&A Pfaffl GmbH & Co KG, Schulgasse 21 A-2100 Stetten, Österreich",OpenAI: text-davinci-003,"Flaschengröße: 0,75 l,
Alkoholgehalt: 13,5 % vol.

Dieser Rotwein aus dem Weingut Pfaffl aus Niederösterreich bietet ein sehr dunkles Rubinrot und ein komplexes Bouquet aus Aromen von reifen Beeren und Gewürzen. Der trockene Wein eignet sich hervorragend zu diversen Braten, Steaks, Pasta und Pizza. Genießen Sie das intensive, langanhaltende Aroma und den runden Geschmack.",professionell
