"url","description","name","Herkunftsland","Anbauregion","Weingut","Produktkategorie","Qualitätsstufe","Cuvee","Geschmacksrichtung","Farbnuance","Flaschengröße","Alkoholgehalt","Restzucker","Säure","Trinktemperatur","Passende Speisen","Hinweis auf Allergene","Auszeichnungen","Hersteller"
"https://www.vindor.de/1997er-chateau-pichon-comtesse-de-lalande-ac-pauillac-2.-grand-cru-classe","Seine dunkle rubinrote Farbe ist von üppigen, schwarzen Kirschen und Johannisbeeren begleitet. Die Frucht vermischt sich mit Noten von Mokka, Kaffee und Toast. Der Wein zeigt ein exzellentes Reichtum, ein expansiver Gaumen, mittlerer Körper, und ein geschmeidiges Finish.","1997er Château Pichon Comtesse de Lalande, AC Pauillac 2. Grand Cru Classé","Frankreich","Pauillac","Château Pichon Comtesse de Lalande","Rotwein","AC Pauillac 2. Grand Cru Classée","Cabernet Sauvignon: 55%, Merlot: 30%, Cabernet Franc: 5%, Petit Verdot: 10%","trocken","granatrot","0,75 l","12,5 %","2,0 g/l","2,3 g/l","18 °C","zu kräftigen Fleischgerichten und Käse","enthält Sulfite","Robert Parker 88","Château Pichon Comtesse de Lalande"
"https://www.vindor.de/1999er-chateau-la-tour-haut-brion-pessac-leognan-a.c.-grand-cru-classe","Großartiges Bukett roter Beeren und Pflaume, sehr harmonisch und elegant. Etwas herber als sein großer Bruder Château Haut Brion, erreicht aber fast seine Eleganz.","1999er Château La Tour Haut Brion, Pessac-Léognan A.C., Grand Cru Classé","Frankreich","Pessac-Léognan","Château La Tour Haut-Brion","Rotwein","AC Pessac-Léognan Grand Cru Classée","42% Cabernet Sauvignon, 35% Cabernet Franc, 23% Merlot","trocken","tiefes Rot","0,75 l","12,5 %","2,0 g/l","5,0 g/l","19-18 °C","Entenpasteten, Lamm mit dunklen Saucen, geschmortem Wildschwein sowie zu pikantem Käse.","enthält Sulfite","Robert Parker 90,                                                                                                                                                                                 Wine Spectator 90 Punkte","Chateau La Tour Haut Brion"
"https://www.vindor.de/2000er-vega-sicilia-unico-do-ribera-del-duero","In der der Nase ein kraftvolles, für diesen mächtigen Jahrgang ungewohnt fruchtiges Bouquet von dunklen Pflaumen und würzigen Beeren, fein unterlegt mit den nun doch wieder klassischen ätherischen Noten von Weihrauch, auch etwas Lavendel und der charakteristischen Frische des Terroirs. Opulenter, aromatisch dichter und konzentrierter Geschmack, hier beweist der Gaumen, wie goldrichtig es war, die Erträge 2000 rigoros zu reduzieren - das Ergebnis ist großartig, kraftvoll, vielschichtig mit klar strukturiertem Tannin, grandioser Länge und enormem Potenzial.","2000er Vega Sicilia Unico, DO Ribera del Duero","Spanien","Ribera del Duero","Bodegas Vega Sicilia","Rotwein","Denominacion de origen","80 % Tinto de Fino, 20% Cabernet Sauvignon","trocken","kaminrot","0,75 l","14 %","1,3 g/l","5,9 g/l","18 °C","zu festlichen Anlässen","enthält Sulfite","Guia Penin 96 Punkte,                                                                                                                                                                                 Robert Parker 97","Bodegas Vega Sicilia, 47359 Valbuena de Duero - Valladolid - España"
"https://www.vindor.de/2001er-chateau-monbousquet-ac-saint-emilion-grand-cru-classe","Der WeinWisser schreibt: Sattes Rubin-Purpur, feiner Rand aussen. In der Nase ein verschwenderisch süsses Merlot-Bouquet, voller Waldbeeren mit parfümierten Rosenaromen, zarte Röstnoten, ausladend. Fester Gaumen, mollige Konturen zeigendes Extrakt, Kirschenaromen, Waldhimbeeren, ein gewisser Grenadinetouch, Frucht pur, viel Konzentration, druckvolles Finale. Ein Monbousquet ohne die typischen Amarenakirschen-Töne, gleichzeitig zeigend, dass das Jahr insgesamt etwas kühler war.","2001er Château Monbousquet, AC Saint Emilion, Grand Cru Classé","Frankreich","Bordeaux,                                                                                                                                                                                 Saint Emilion","Chateau Monbousquet","Rotwein","Saint Emilion Grand Cru Classé","60% Merlot, 30% Cabernet Franc, 10% Cabernet Sauvignon","trocken","sattes Rubin-Purpur","0,75 l","13,5 %","< 2 g/l","5,5 g/l","16-18 °C","zu gebratenem oder geschmortem Rind- und Lammfleisch, zu zartem Wild (Hirschkuh, Reh, Hirschkalb) oder auch zu einer gebratenen Gans","enthält Sulfite","Robert Parker 91","Château Monbousquet, 42 Avenue de Saint-Emilion, 33330 Saint-Sulpice-de-Faleyrens, Frankreich"
"https://www.vindor.de/2004er-chateau-le-boscq-ac-saint-estephe-cru-bourgeois","Château Le Boscq gehört zu den großen Klassikern der Appellation und wird von keinem geringeren als Michel Rolland betreut. Die Weinberge werden intensiv nach seinen Vorgaben bearbeitet.
Der WEINWISSER  (Rene Gabriel) gibt 18 Punkte und schreibt: Sattes Purpur-Granat. Ausladendes, warmes Cassis- und Brombeerbouquet, ein Hauch Kokos, schön zugänglich. Im Gaumen fleischig, guter Rückhalt, mit gutem Potenzial, aber verspäteter Genussreife.","2004er Château le Boscq, AC Saint-Estephe Cru Bourgeois","Frankreich","Saint-Estephe,                                                                                                                                                                                 Bordeaux","Château Le Boscq","Rotwein","AC Saint-Estephe Cru Bourgeois","Cabernet Sauvignon, Merlot, Cabernet Franc, Petiit Verdot","trocken","purpurrot","0,75 l","12,5 %","< 2 g/l","< 5,0 g/l","16-18 °C","zu feinen gebratenen oder geschmorten Fleischgerichten von Rind und Lamm, zu zartem Wildfleisch vom Reh oder Hirschkalb oder auch zu einer gebratenen Gans","enthält Sulfite","WEINWISSER 18","CVBG Dourthe Kressmann (C&C EXPORT), 35 Rue de Bordeaux Parempuyre –  33295 Blanquefort Cedex - France"
"https://www.vindor.de/2005er-chateau-laroze-ac-saint-emilion-grand-cru","Der Bordeaux Jahrgang 2005 ist einer der zur Zeit gesuchtesten Jahrgänge. Dieser klassische Bordeaux ist sehr intensiv, dabei jedoch sehr harmonisch und zart. Am Gaumen ist sehr komplex und dicht, geprägt durch eine langanhaltende, außerordentliche Feinheit.","2005er Château Laroze, AC Saint-Emilion Grand Cru","Frankreich","Bordeaux,                                                                                                                                                                                 Saint Emilion","Château Laroze","Rotwein","AC St. Emilion Grand Cru","Merlot, Cabernet Sauvignon, Cabenet Franc","trocken","purpurrot","0,75 l","13,5 %","2,0 g/l","5,0 g/l","18 °C","Fleisch in Sauce, mediterrane Gerichte mit Oliven und aromatischen Kräutern, mariniertes Wild und (Ziegen- oder Schaf-) Käse.","enthält Sulfite","Robert Parker 89,                                                                                                                                                                                 Wine Spectator 90 Punkte","Château Laroze, 33330 Saint-Émilion - Frankreich"
"https://www.vindor.de/2006er-chateau-mouton-rothschild-ac-pauillac-1er-grand-cru-classe","Château Mouton Rothschild 2006 ist schon jetzt einer der großen Klassiker. Vielschichtiges und exzellent strukturiertes Bouquet mit einer reichen Aromenpalette von roten Früchten, Waldbrombeeren, Himbeeren, weißem Pfeffer, Vanille, feinen Rauch- und Eichenholznoten sowie hocheleganten Anklängen von Weihrauch und Konfitüre.Am Gaumen vollmundig, geschmeidig, rund und kraftvoll mit gut spürbarem, doch zugleich extrem elegantem Tannin; der in diesem Jahrgang ungewöhnlich hohe Cabernet Sauvignon-Anteil verleiht dem Mouton ein noch kräftigeres Cassis-Aroma und eine saftige Fülle mit überwältigender Länge im Finale - elegant, subtil, verführerisch ist.","2006er Château Mouton Rothschild, AC Pauillac 1er Grand Cru Classé","Frankreich","Bordeaux,                                                                                                                                                                                 Pauillac","Château Mouton Rothschild","Rotwein","1. Grand Cru Classée","87% Cabernet Sauvignon, 13% Merlot","trocken","dunkelrot mit kirschfarbenen Reflexen","0,75 l","12,5 %","1,6 g/l","3,3 g/l","18 °C","zu feinen gebratenen oder geschmorten Fleischgerichten von Rind und Lamm, zu zartem Wildfleisch vom Reh oder Hirschkalb oder auch zu einer gebratenen Gans","enthält Sulfite","Robert Parker 98,                                                                                                                                                                                 Wine Spectator 94 Punkte","Château Mouton Rothschild, 33250 Pauillac - France"
"https://www.vindor.de/2006er-chateau-sociando-mallet-ac-cru-bourgeois-haut-medoc","Extrem zuverlässiger Cru Bourgeois auf dem Niveau eines Grand Cru Classé Weines. Auch im Preis immer fair und bodenständig geblieben.
Der WeinWisser gibt 18/20 Punkten und schreibt: ""Mittleres Granat-Rubin, satt in der Mitte. Duftiges Bouquet mit viel Edelhölzer, Zederntöne, Sommertrüffel und Tabak, würzig und vielschichtig, ja fast parfümiert. Im Gaumen sehr elegant und ausgeglichen, feinste Tannine, die ihm eine besondere Klasse verleihen, noch adstringierend und somit mit einem nicht zu unterschätzenden, grossen Potential bestückt. Hat sich sehr positiv entwickelt und verdient jetzt einen Punkt mehr als bei den Primeurproben."" 
 
Robert Parkter gibt 90 Punkte und schreibt: ""Tasted blind at Farr Vintners' 2006 tasting, the 2006 Château Sociando Mallet displayed a lifted and sprightly bouquet with black fruit, scorched earth, fresh mint and smoky aromas - quasi-Pauillac in style. The palate is medium-bodied with fine tannin and a keen line of acidity, fresh in the mouth with a saline tincture towards the composed finish. There is impressive freshness here, not overly complex for sure, but it conveys energy. Drink now and over the next decade. Tasted April 2016""","2006er Château Sociando Mallet, AC Cru Bourgeois Haut Medoc","Frankreich","Haut-Médoc","Château Sociando Mallet","Rotwein","AC Haut-Médoc Cru Bourgeois","Cabernet Sauvignon (55 %) Merlot (40 %) Cabernet Franc (5 %)","trocken","tiefes Dunkelrot","0,75 l","12,5 %","< 2 g/l","< 5,0 g/l","16-18 °C","kräftige Gerichte von Schwein und Rind, Braten in dunklen Soßen, gegrilltes Fleisch, Lamm und Wildgerichte, kräftige Käsesorten","enthält Sulfite","WEINWISSER 18,                                                                                                                                                                                 Robert Parker 90","Château Sociando Mallet, Route de Mapon, 33180 Saint Seurin de Cadourne - Frankreich"
"https://www.vindor.de/2007er-chateau-marsau-a.c.-cotes-de-franc","Aufgrund seiner bevorzugten geografischen Lage, kann es Château Marsau problemlos mit den Weinen aus Pomerol und den Grand Cru Weinen des Saint-Emilion aufnehmen und ist dabei ungemein erschwinglich. Der 2007er präsentiert sich in einem dunklen Rubingranat, jugendlichen Reflexen und einem violetter Rand. In der Nase feine Herzkirschen, rotbeerige Nuancen, zart nach Nougat. Am Gaumen saftige Kirschenfrucht, elegant, lebendige Textur, etwas Mandarinen, ausgewogen, bereitet großes Trinkvergnügen.","2007er Château Marsau, A.C. Cotes de Franc","Frankreich","Cotes de Franc","Château Marsau","Rotwein","A.C. Cotes de Franc",,"trocken","Sehr dunkles Granat mit lila Schimmer","0,75 l","13 %","< 2 g/l","< 5,0 g/l","16-18 °C","kräftige Gerichte von Schwein und Rind, Braten in dunklen Soßen, gegrilltes Fleisch, Lamm und Wildgerichte, kräftige Käsesorten","enthält Sulfite","Falstaff 87 Punkte","Château Marsau, 3 Bernarderie, 33570 Francs, Frankreich"
"https://www.vindor.de/2007er-chateau-sociando-mallet-ac-cru-bourgeois-haut-medoc","Extrem zuverlässiger Cru Bourgeois auf dem Niveau eines Grand Cru Classé Weines. Auch im Preis immer fair und bodenständig geblieben.
Das Falstaff Magazin schreibt über diesen Jahrgang: *Kräftiges Rubingranat, violette Randaufhellung. In der Nase intensive Herzkirschenfrucht, feine süße Gewürznote, Orangenschalen, zarte ätherische Anklänge. Am Gaumen elegant, dunkle Beerenfrucht, süße Kirschen, perfekte Tannine, mineralischer Stil, lebendige Säurestruktur, feiner Schokonachhall, sehr gutes Potenzial.*","2007er Château Sociando Mallet, AC Cru Bourgeois Haut Medoc","Frankreich","Haut-Médoc","Château Sociando Mallet","Rotwein","AC Haut-Médoc Cru Bourgeois","Cabernet Sauvignon (55 %) Merlot (40 %) Cabernet Franc (5 %)","trocken","tiefes Dunkelrot","0,75 l","12,5 %","< 2 g/l","< 5,0 g/l","16-18 °C","kräftige Gerichte von Schwein und Rind, Braten in dunklen Soßen, gegrilltes Fleisch, Lamm und Wildgerichte, kräftige Käsesorten","enthält Sulfite",,"Château Sociando Mallet, Route de Mapon, 33180 Saint Seurin de Cadourne - Frankreich"
